#objectID mag0 amp ra dec
698800 14.63 0.11 243.352976 41.163446
587414 14.63 0.33 145.818203 2.404366
625141 14.63 0.47 214.447075 3.780860
585631 14.64 0.42 182.279349 2.825977
1243760 14.64 0.50 193.321681 65.910066
630271 14.65 0.20 260.367726 28.009203
848890 14.67 0.33 248.644195 8.722361
860520 14.68 0.15 179.766038 17.006203
748579 14.68 0.16 244.473586 20.837204
796352 14.69 0.32 235.966163 20.320054
797593 14.69 0.40 239.863165 17.965309
841180 14.70 0.34 186.428143 22.090941
878487 14.70 0.11 189.759210 -17.447650
634226 14.71 0.43 202.754589 -2.432726
1282211 14.72 0.20 215.639338 37.715697
560927 14.73 0.34 237.648949 0.542937
946872 14.73 0.37 210.841252 -10.285397
707035 14.73 0.12 184.277667 8.952110
1306749 14.73 0.33 191.208882 -0.844359
633224 14.74 0.44 207.080778 -2.123719
633637 14.74 0.40 207.220239 -3.214271
876389 14.74 0.10 157.608794 15.139744
793446 14.75 0.20 224.507407 25.885982
559379 14.75 0.39 237.619970 0.070303
734393 14.75 0.38 232.209382 7.006944
628807 14.76 0.38 229.648569 2.248053
671848 14.76 0.46 193.669186 51.672709
853953 14.78 0.34 191.344781 19.185725
699903 14.78 0.41 240.940796 45.008503
1300364 14.78 0.33 173.831519 49.233287
834965 14.79 0.18 223.924503 16.890156
743829 14.79 0.34 240.820781 30.151477
879617 14.79 0.37 191.649801 -17.554158
559334 14.79 0.25 232.152833 0.191225
853203 14.80 0.35 194.314980 16.906448
736893 14.80 0.31 247.293498 29.677273
743059 14.80 0.30 235.697579 8.974470
1280888 14.80 0.16 217.554001 48.818484
1290840 14.81 0.33 213.584590 8.674819
1266502 14.81 0.32 143.487205 33.873639
947307 14.81 0.39 169.624835 -0.764479
860537 14.81 0.28 183.042848 16.946903
565559 14.82 0.29 195.229985 -2.974645
778772 14.82 0.31 203.088579 36.076690
586510 14.82 0.44 249.480339 47.540999
566791 14.82 0.33 182.883453 -1.876687
738821 14.83 0.36 241.987473 26.131264
588721 14.83 0.34 220.586676 2.343381
947487 14.84 0.37 166.814550 0.177515
1296545 14.84 0.35 237.166998 38.882928
743355 14.84 0.69 247.734442 6.615406
873655 14.84 0.36 144.115262 14.319394
1271509 14.85 0.31 192.930640 45.832633
818752 14.85 0.32 150.395346 25.499904
585933 14.86 0.25 214.042641 2.502083
1248735 14.86 0.16 176.456642 4.087734
881692 14.86 0.40 259.737444 32.941824
774570 14.88 0.41 153.485103 35.868689
849574 14.88 0.39 247.047703 9.452569
1304741 14.88 0.35 221.599718 -0.115818
580344 14.88 0.37 169.255937 67.637974
860963 14.88 0.39 188.909541 16.538907
699840 14.88 0.32 259.826724 24.606274
733634 14.88 0.17 233.623863 5.897764
700695 14.89 0.37 248.034110 32.280230
687602 14.89 0.32 163.061171 52.577460
857157 14.90 0.39 243.692966 9.764595
699559 14.90 0.31 247.604321 38.822349
854478 14.90 0.33 233.523019 13.255305
688306 14.91 0.48 167.596852 54.624788
652923 14.91 0.33 137.642528 43.586204
695419 14.92 0.42 255.567781 26.272956
1275138 14.92 0.34 182.857275 12.334766
766324 14.93 0.25 121.822439 53.538301
800105 14.93 0.38 249.572098 12.945837
843650 14.93 0.25 169.685741 22.744602
838601 14.93 0.35 200.159149 22.977125
1294578 14.93 0.32 128.588752 16.285813
614589 14.94 0.36 207.733654 62.320268
623859 14.95 0.21 259.160765 32.577152
680419 14.95 0.33 165.473435 6.405637
731688 14.95 0.40 226.531259 9.443606
788907 14.95 0.28 246.114587 18.413870
721898 14.95 0.48 141.051030 10.925226
796051 14.95 0.34 249.985094 13.613797
1281833 14.95 0.24 213.804904 37.737696
